location,date,total_cases,total_deaths,death_percentage
Nigeria,8/1/2023,266675,3155,1.1831
Nigeria,8/10/2020,46140,942,2.0416
Nigeria,8/10/2021,177615,2185,1.2302
Nigeria,8/10/2022,261885,3147,1.2017
Nigeria,8/10/2023,266675,3155,1.1831
Nigeria,8/11/2020,46140,942,2.0416
Nigeria,8/11/2021,177615,2185,1.2302
Nigeria,8/11/2022,261885,3147,1.2017
Nigeria,8/11/2023,266675,3155,1.1831
Nigeria,8/12/2020,46140,942,2.0416
Nigeria,8/12/2021,177615,2185,1.2302
Nigeria,8/12/2022,261885,3147,1.2017
Nigeria,8/12/2023,266675,3155,1.1831
Nigeria,8/13/2020,46140,942,2.0416
Nigeria,8/13/2021,177615,2185,1.2302
Nigeria,8/13/2022,261885,3147,1.2017
Nigeria,8/13/2023,267036,3155,1.1815
Nigeria,8/14/2020,46140,942,2.0416
Nigeria,8/14/2021,177615,2185,1.2302
Nigeria,8/14/2022,262520,3147,1.1988
Nigeria,8/14/2023,267036,3155,1.1815
Nigeria,8/15/2020,46140,942,2.0416
Nigeria,8/15/2021,181962,2219,1.2195
Nigeria,8/15/2022,262520,3147,1.1988
Nigeria,8/15/2023,267036,3155,1.1815
Nigeria,8/16/2020,48770,974,1.9971
Nigeria,8/16/2021,181962,2219,1.2195
Nigeria,8/16/2022,262520,3147,1.1988
Nigeria,8/16/2023,267036,3155,1.1815
Nigeria,8/17/2020,48770,974,1.9971
Nigeria,8/17/2021,181962,2219,1.2195
Nigeria,8/17/2022,262520,3147,1.1988
Nigeria,8/17/2023,267036,3155,1.1815
Nigeria,8/18/2020,48770,974,1.9971
Nigeria,8/18/2021,181962,2219,1.2195
Nigeria,8/18/2022,262520,3147,1.1988
Nigeria,8/18/2023,267036,3155,1.1815
Nigeria,8/19/2020,48770,974,1.9971
Nigeria,8/19/2021,181962,2219,1.2195
Nigeria,8/19/2022,262520,3147,1.1988
Nigeria,8/19/2023,267036,3155,1.1815
Nigeria,8/2/2020,43537,883,2.0282
Nigeria,8/2/2021,173908,2149,1.2357
Nigeria,8/2/2022,260977,3147,1.2059
Nigeria,8/2/2023,266675,3155,1.1831
Nigeria,8/20/2020,48770,974,1.9971
Nigeria,8/20/2021,181962,2219,1.2195
Nigeria,8/20/2022,262520,3147,1.1988
Nigeria,8/20/2023,267041,3155,1.1815
Nigeria,8/21/2020,48770,974,1.9971
Nigeria,8/21/2021,181962,2219,1.2195
Nigeria,8/21/2022,262912,3147,1.1970
Nigeria,8/21/2023,267041,3155,1.1815
Nigeria,8/22/2020,48770,974,1.9971
Nigeria,8/22/2021,186635,2260,1.2109
Nigeria,8/22/2022,262912,3147,1.1970
Nigeria,8/22/2023,267041,3155,1.1815
Nigeria,8/23/2020,51905,997,1.9208
Nigeria,8/23/2021,186635,2260,1.2109
Nigeria,8/23/2022,262912,3147,1.1970
Nigeria,8/23/2023,267041,3155,1.1815
Nigeria,8/24/2020,51905,997,1.9208
Nigeria,8/24/2021,186635,2260,1.2109
Nigeria,8/24/2022,262912,3147,1.1970
Nigeria,8/24/2023,267041,3155,1.1815
Nigeria,8/25/2020,51905,997,1.9208
Nigeria,8/25/2021,186635,2260,1.2109
Nigeria,8/25/2022,262912,3147,1.1970
Nigeria,8/25/2023,267041,3155,1.1815
Nigeria,8/26/2020,51905,997,1.9208
Nigeria,8/26/2021,186635,2260,1.2109
Nigeria,8/26/2022,262912,3147,1.1970
Nigeria,8/26/2023,267041,3155,1.1815
Nigeria,8/27/2020,51905,997,1.9208
Nigeria,8/27/2021,186635,2260,1.2109
Nigeria,8/27/2022,262912,3147,1.1970
Nigeria,8/27/2023,267051,3155,1.1814
Nigeria,8/28/2020,51905,997,1.9208
Nigeria,8/28/2021,186635,2260,1.2109
Nigeria,8/28/2022,263407,3148,1.1951
Nigeria,8/28/2023,267051,3155,1.1814
Nigeria,8/29/2020,51905,997,1.9208
Nigeria,8/29/2021,190983,2361,1.2362
Nigeria,8/29/2022,263407,3148,1.1951
Nigeria,8/29/2023,267051,3155,1.1814
Nigeria,8/3/2020,43537,883,2.0282
Nigeria,8/3/2021,173908,2149,1.2357
Nigeria,8/3/2022,260977,3147,1.2059
Nigeria,8/3/2023,266675,3155,1.1831
Nigeria,8/30/2020,53727,1011,1.8817
Nigeria,8/30/2021,190983,2361,1.2362
Nigeria,8/30/2022,263407,3148,1.1951
Nigeria,8/30/2023,267051,3155,1.1814
Nigeria,8/31/2020,53727,1011,1.8817
Nigeria,8/31/2021,190983,2361,1.2362
Nigeria,8/31/2022,263407,3148,1.1951
Nigeria,8/31/2023,267051,3155,1.1814
Nigeria,8/4/2020,43537,883,2.0282
Nigeria,8/4/2021,173908,2149,1.2357
Nigeria,8/4/2022,260977,3147,1.2059
Nigeria,8/4/2023,266675,3155,1.1831
Nigeria,8/5/2020,43537,883,2.0282
Nigeria,8/5/2021,173908,2149,1.2357
Nigeria,8/5/2022,260977,3147,1.2059
Nigeria,8/5/2023,266675,3155,1.1831
Nigeria,8/6/2020,43537,883,2.0282
Nigeria,8/6/2021,173908,2149,1.2357
Nigeria,8/6/2022,260977,3147,1.2059
Nigeria,8/6/2023,266675,3155,1.1831
Nigeria,8/7/2020,43537,883,2.0282
Nigeria,8/7/2021,173908,2149,1.2357
Nigeria,8/7/2022,261885,3147,1.2017
Nigeria,8/7/2023,266675,3155,1.1831
Nigeria,8/8/2020,43537,883,2.0282
Nigeria,8/8/2021,177615,2185,1.2302
Nigeria,8/8/2022,261885,3147,1.2017
Nigeria,8/8/2023,266675,3155,1.1831
Nigeria,8/9/2020,46140,942,2.0416
Nigeria,8/9/2021,177615,2185,1.2302
Nigeria,8/9/2022,261885,3147,1.2017
Nigeria,8/9/2023,266675,3155,1.1831
Nigeria,9/1/2020,53727,1011,1.8817
Nigeria,9/1/2021,190983,2361,1.2362
Nigeria,9/1/2022,263407,3148,1.1951
Nigeria,9/1/2023,267051,3155,1.1814
Nigeria,9/10/2020,54905,1054,1.9197
Nigeria,9/10/2021,195052,2522,1.2930
Nigeria,9/10/2022,263867,3148,1.1930
Nigeria,9/10/2023,267118,3155,1.1811
Nigeria,9/11/2020,54905,1054,1.9197
Nigeria,9/11/2021,195052,2522,1.2930
Nigeria,9/11/2022,264450,3154,1.1927
Nigeria,9/11/2023,267118,3155,1.1811
Nigeria,9/12/2020,54905,1054,1.9197
Nigeria,9/12/2021,198786,2590,1.3029
Nigeria,9/12/2022,264450,3154,1.1927
Nigeria,9/12/2023,267118,3155,1.1811
Nigeria,9/13/2020,56177,1078,1.9189
Nigeria,9/13/2021,198786,2590,1.3029
Nigeria,9/13/2022,264450,3154,1.1927
Nigeria,9/13/2023,267118,3155,1.1811
Nigeria,9/14/2020,56177,1078,1.9189
Nigeria,9/14/2021,198786,2590,1.3029
Nigeria,9/14/2022,264450,3154,1.1927
Nigeria,9/14/2023,267118,3155,1.1811
Nigeria,9/15/2020,56177,1078,1.9189
Nigeria,9/15/2021,198786,2590,1.3029
